Passos,Frequencia
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,4
8,4
9,6
10,6
11,8
12,10
13,14
14,18
15,24
16,28
17,35
18,43
19,49
20,63
21,60
22,79
23,105
24,90
25,124
26,134
27,138
28,195
29,135
30,201
31,289
32,192
33,290
34,166
35,261
36,408
37,227
38,371
39,421
40,292
41,483
42,232
43,400
44,652
45,290
46,510
47,207
48,384
49,672
50,271
51,496
52,555
53,362
54,660
55,239
56,458
57,752
58,307
59,588
60,197
61,391
62,756
63,246
64,503
65,390
66,318
67,637
68,192
69,408
70,755
71,267
72,536
73,154
74,343
75,720
76,204
77,439
78,116
79,252
80,559
81,153
82,341
83,539
84,204
85,467
86,126
87,287
88,595
89,164
90,385
91,99
92,227
93,499
94,142
95,312
96,407
97,198
98,421
99,119
100,255
101,527
102,162
103,351
104,104
105,205
106,429
107,135
108,283
109,86
110,175
111,380
112,112
113,234
114,411
115,152
116,311
117,103
118,207
119,430
120,153
121,296
122,115
123,210
124,417
125,156
126,292
127,304
128,216
129,405
130,158
131,295
132,555
133,206
134,383
135,139
136,263
137,502
138,174
139,337
140,136
141,238
142,468
143,149
144,300
145,584
146,188
147,389
148,114
149,245
150,501
151,142
152,313
153,94
154,202
155,417
156,118
157,252
158,376
159,157
160,337
161,85
162,193
163,426
164,103
165,250
166,58
167,141
168,329
169,87
170,199
171,60
172,111
173,254
174,67
175,150
176,333
177,88
178,195
179,51
180,109
181,259
182,64
183,149
184,37
185,84
186,198
187,43
188,114
189,261
190,57
191,150
192,21
193,73
194,194
195,35
196,93
197,12
198,47
199,128
200,19
201,55
202,28
203,26
204,74
205,12
206,37
207,121
208,15
209,58
210,4
211,18
212,63
213,7
214,27
215,2
216,9
217,36
218,4
219,19
220,62
221,8
222,27
223,2
224,9
225,38
226,3
227,19
228,1
229,6
230,24
231,2
232,11
233,13
234,6
235,22
236,3
237,12
238,35
239,6
240,15
241,3
242,11
243,32
244,5
245,15
246,1
247,6
248,19
249,2
250,9
251,29
252,3
253,13
254,2
255,6
256,20
257,2
258,7
259,1
260,4
261,11
262,4
263,7
264,11
265,2
266,9
267,1
268,5
269,11
270,2
271,6
272,0
273,2
274,8
275,1
276,3
277,0
278,2
279,5
280,0
281,1
282,6
283,0
284,2
285,0
286,0
287,2
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,2
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,2
306,0
307,1
308,0
309,0
310,2
311,0
312,0
313,2
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
